trading_date,timestamp,script_name,direction,breakout_true,blocked_at,block_reason,block_value,close_price,volume,volume_ma20,ema_fast,ema_slow,ema_direction,kaufman_er,kaufman_threshold,kaufman_pass,adx,adx_prev,adx_threshold,adx_confirmed,rsi,davb_upper,davb_lower,davb_window,davb_vol_coeff,davb_breakout
2026-08-17,2026-08-17 11:00:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=24.16 need>57.0,24236.8,130.0,38168.0,24241.254044790752,24257.238946078265,BEAR_HOLD,0.6615609044493459,0.4,TRUE,51.726629946165396,51.10970465994251,16.0,TRUE,24.15682151812412,24292.4,24229.3,10,24.341752502026925,
2026-08-17,2026-08-17 11:05:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=27.49 need>57.0,24240.95,12350.0,38779.0,24242.297140971616,24255.54256602627,BEAR_HOLD,0.4135746606334578,0.4,TRUE,52.5105132014804,51.83604440745749,16.0,TRUE,27.49111525165857,24283.9,24229.3,10,23.563184967572134,
2026-08-17,2026-08-17 11:10:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=26.00 need>57.0,24235.6,18655.0,37212.5,24240.51380763828,24254.778280311984,BEAR_HOLD,0.4653465346534606,0.4,TRUE,52.5596356629682,51.83604440745749,16.0,TRUE,26.004956825711886,24283.9,24229.3,10,24.3476852368001,
2026-08-17,2026-08-17 11:15:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=26.39 need>57.0,24236.05,0.0,32363.5,24238.045025617015,24249.815675331254,BEAR_HOLD,0.5863689776733526,0.4,TRUE,53.855396779786545,53.231481517841594,16.0,TRUE,26.39001197844003,24261.95,24229.3,10,20.01806143240318,
2026-08-17,2026-08-17 11:20:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=26.34 need>57.0,24235.1,14300.0,33078.5,24237.185572633567,24247.780782936992,BEAR_HOLD,0.5468940316687241,0.4,TRUE,54.43469522192758,53.855342859076515,16.0,TRUE,26.338769488118274,24261.65,24229.3,10,18.481472140781012,
2026-08-17,2026-08-17 11:25:02,NIFTY,SHORT,FALSE,F3B_RSI_ENTRY,RSI not above short entry threshold (overbought gate),rsi=24.18 need>57.0,24227.8,16900.0,31801.25,24234.752239300236,24246.737925794132,BEAR_HOLD,0.6153050672182191,0.4,TRUE,54.65440655891403,53.855342859076515,16.0,TRUE,24.176752417735145,24261.65,24229.3,10,19.054493925294235,SHORT
2026-08-17,2026-08-17 11:30:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.0386 < thr=0.40,24240.0,650.0,30826.25,24237.31210635566,24244.754394460993,BEAR_HOLD,0.038647342995132575,0.4,FALSE,53.78232161863743,54.20217175508259,16.0,FALSE,34.022351579964095,24255.45,24227.8,10,18.37262306020327,
2026-08-17,2026-08-17 11:35:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.0755 < thr=0.40,24242.4,15925.0,31590.0,24239.319182014886,24244.58948096657,BEAR_HOLD,0.07549361207897283,0.4,FALSE,53.07887596629242,53.619692487438506,16.0,FALSE,35.82609971434371,24247.2,24227.8,10,17.808069115301453,
2026-08-17,2026-08-17 11:40:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.0338 < thr=0.40,24237.6,0.0,29435.25,24237.719182014887,24243.903766680854,BEAR_HOLD,0.03380588876778001,0.4,FALSE,52.607520162526406,53.619692487438506,16.0,FALSE,33.5217873660483,24247.2,24227.8,10,18.59161471595494,
2026-08-17,2026-08-17 11:45:02,NIFTY,SHORT,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.1634 < thr=0.40,24244.75,130.0,28775.5,24241.44741422884,24244.030318377776,BEAR_HOLD,0.16335540838851637,0.4,FALSE,50.647588669768616,51.59121544901898,16.0,FALSE,38.97385194866969,24247.75,24227.8,10,18.5283443460613,
